block_id,tier,escalation_score,rules_triggered,issue_potential,miss_risk,review_recommended,review_reasons,risk,size_kb,page,findings_count,kv_count,summary_len,analysis_present
4UTW-PPGP-VEN,tier1_mandatory_second_pass,27,"['findings_present', 'risk_heavy', 'issue_potential_high', 'review_recommended']",high,low,True,"['finding_present', 'high_structural_risk', 'dense_graphics_or_text']",heavy,1109.0,7,3,28,336,True
6DRC-7KQL-9TJ,tier1_mandatory_second_pass,27,"['findings_present', 'risk_heavy', 'issue_potential_high', 'review_recommended']",high,low,True,"['finding_present', 'high_structural_risk', 'dense_graphics_or_text']",heavy,949.5,8,2,30,329,True
4WTD-JFKA-JLE,tier1_mandatory_second_pass,26,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'dense_graphics_or_text', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,1740.7,10,0,4638,261,True
4JYF-HEKU-VVV,tier1_mandatory_second_pass,26,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,90.8,10,0,18,245,True
RELE-MX3A-MEN,tier1_mandatory_second_pass,26,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'dense_graphics_or_text', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,2063.8,11,0,185,331,True
46LP-7CN7-GG6,tier1_mandatory_second_pass,26,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,82.8,13,0,108,241,True
9J9X-DXHT-6GJ,tier1_mandatory_second_pass,19,"['findings_present', 'issue_potential_high', 'review_recommended']",high,low,True,['finding_present'],light,34.4,11,6,44,454,True
7NAU-TNME-3AR,tier1_mandatory_second_pass,19,"['findings_present', 'issue_potential_high', 'review_recommended']",high,low,True,['finding_present'],light,43.1,12,3,11,245,True
9LPD-VX9H-YHK,tier1_mandatory_second_pass,19,"['findings_present', 'issue_potential_high', 'review_recommended']",high,low,True,['finding_present'],normal,55.4,12,3,13,210,True
6PCX-NFHU-6KW,tier1_mandatory_second_pass,19,"['findings_present', 'issue_potential_high', 'review_recommended']",high,low,True,['finding_present'],light,38.5,12,4,19,261,True
9GNP-D7CE-RYM,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,27.3,8,0,12,90,True
43L7-P9UL-VYD,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,55.4,10,0,19,222,True
4MQJ-6NXP-4YH,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,40.6,12,0,17,116,True
DTGF-MYHX-PPD,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,69.5,12,0,19,245,True
TULW-YCYU-YVQ,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,66.1,13,0,31,329,True
VGGJ-3ULF-TLV,tier1_mandatory_second_pass,7,"['issue_potential_medium', 'review_recommended']",medium,low,True,[],normal,9.8,7,0,5,84,True
7QUU-QDA4-N7D,tier1_mandatory_second_pass,7,"['issue_potential_medium', 'review_recommended']",medium,low,True,[],normal,28.4,12,0,10,134,True
