block_id,tier,escalation_score,rules_triggered,issue_potential,miss_risk,review_recommended,review_reasons,risk,size_kb,page,findings_count,kv_count,summary_len,analysis_present
4UTW-PPGP-VEN,tier1_mandatory_second_pass,31,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'dense_graphics_or_text', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,1109.0,7,0,0,21,True
6DRC-7KQL-9TJ,tier1_mandatory_second_pass,31,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'dense_graphics_or_text', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,949.5,8,0,0,21,True
4WTD-JFKA-JLE,tier1_mandatory_second_pass,31,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'dense_graphics_or_text', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,1740.7,10,0,0,21,True
4JYF-HEKU-VVV,tier1_mandatory_second_pass,31,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,90.8,10,0,0,21,True
RELE-MX3A-MEN,tier1_mandatory_second_pass,31,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'dense_graphics_or_text', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,2063.8,11,0,0,21,True
46LP-7CN7-GG6,tier1_mandatory_second_pass,31,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'weak_summary', 'low_kv_for_complex_block', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,82.8,13,0,0,21,True
9GNP-D7CE-RYM,tier1_mandatory_second_pass,16,"['miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",normal,27.3,8,0,0,21,True
43L7-P9UL-VYD,tier1_mandatory_second_pass,16,"['miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",normal,55.4,10,0,0,21,True
4MQJ-6NXP-4YH,tier1_mandatory_second_pass,16,"['miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",normal,40.6,12,0,0,21,True
DTGF-MYHX-PPD,tier1_mandatory_second_pass,16,"['miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",normal,69.5,12,0,0,21,True
9LPD-VX9H-YHK,tier1_mandatory_second_pass,16,"['miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",normal,55.4,12,0,0,21,True
TULW-YCYU-YVQ,tier1_mandatory_second_pass,16,"['miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'low_kv_for_complex_block', 'engineeringly_critical_block']",normal,66.1,13,0,0,21,True
VGGJ-3ULF-TLV,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block']",low,high,True,"['weak_summary', 'low_kv_for_complex_block']",normal,9.8,7,0,0,21,True
4MAU-AT9Y-QRP,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'engineeringly_critical_block']",light,57.9,8,0,0,21,True
7MAJ-EMC4-KNJ,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'engineeringly_critical_block']",light,35.3,9,0,0,21,True
HJ7G-VWTF-CGV,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'engineeringly_critical_block']",light,54.3,10,0,0,21,True
D9MX-LMX7-6QX,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'engineeringly_critical_block']",light,34.9,10,0,0,21,True
9J9X-DXHT-6GJ,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'engineeringly_critical_block']",light,34.4,11,0,0,21,True
7NAU-TNME-3AR,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'engineeringly_critical_block']",light,43.1,12,0,0,21,True
MANG-C46A-EH7,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'engineeringly_critical_block']",light,52.0,12,0,0,21,True
7QUU-QDA4-N7D,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'low_kv_for_complex_block']",low,high,True,"['weak_summary', 'low_kv_for_complex_block']",normal,28.4,12,0,0,21,True
6PCX-NFHU-6KW,tier1_mandatory_second_pass,14,"['miss_risk_high', 'review_recommended', 'weak_summary', 'engineeringly_critical_block']",low,high,True,"['weak_summary', 'engineeringly_critical_block']",light,38.5,12,0,0,21,True
7KCK-7PJC-U3E,tier1_mandatory_second_pass,12,"['miss_risk_high', 'review_recommended', 'weak_summary']",low,high,True,['weak_summary'],light,45.2,8,0,0,21,True
7RD6-7GYX-MVT,tier1_mandatory_second_pass,12,"['miss_risk_high', 'review_recommended', 'weak_summary']",low,high,True,['weak_summary'],light,32.6,10,0,0,21,True
9XLH-7CNM-MFW,tier1_mandatory_second_pass,12,"['miss_risk_high', 'review_recommended', 'weak_summary']",low,high,True,['weak_summary'],light,14.9,11,0,0,21,True
